date,year,season,location,sampleID,sampleID.prefix,labelColor,microhabitat,vial,scientificName,stage,notes,number,benthicArea,acceptedTaxonID,taxonRank,organism_aggr,phylum,subphylum,class,order,family,subfamily,tribe,genus,species,taxa.notes,tolerance,FFG,FFG2
2018-05-29,2018,Summer,Downstream,01DRSU18.DSR,01DRSU18,Lavender,DSR,3,Caecidotea sp.,adult,isopods (sow bugs),1,0.5,CAESP4,genus,Caecidotea,Arthropoda,Crustacea,Malacostraca,Isopoda,Asellidae,NA,NA,Caecidotea,NA,NA,8,cg,sh
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,2,Cheumatopsyche sp.,pupa,pupa,2,0.5,CHESP5,genus,Cheumatopsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Cheumatopsyche,NA,NA,5,cf,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,5,Chimarra sp.,larva,"T-shaped membranous labrum, frontoclypeus with asymmetrical notch. membranous mesonotum and metanotum, no anal sclerite, labrum T-shaped, and head elongate, substantial notch from dorsal view of head, from ventral view: setae 18 closer to labrum than to midline",7,0.5,CHISP7,genus,Chimarra,Arthropoda,Hexapoda,Insecta,Trichoptera,Philopotamidae,Chimarrinae,NA,Chimarra,NA,NA,4,cf,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,11b,Chimarra sp.,larva,"T-shaped membranous labrum, frontoclypeus with asymmetrical notch. setae no 18 on ventral side of head closer to posterior margin than to midline",1,0.5,CHISP7,genus,Chimarra,Arthropoda,Hexapoda,Insecta,Trichoptera,Philopotamidae,Chimarrinae,NA,Chimarra,NA,NA,4,cf,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,4b,Chimarra sp.,larva,"T-shaped membranous labrum, frontoclypeus with asymmetrical notch",1,0.5,CHISP7,genus,Chimarra,Arthropoda,Hexapoda,Insecta,Trichoptera,Philopotamidae,Chimarrinae,NA,Chimarra,NA,NA,4,cf,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,5,Chimarra sp.,larva,"T-shaped membranous labrum, frontoclypeus with asymmetrical notch",16,0.5,CHISP7,genus,Chimarra,Arthropoda,Hexapoda,Insecta,Trichoptera,Philopotamidae,Chimarrinae,NA,Chimarra,NA,NA,4,cf,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSR,01DRSU18,Lavender,DSR,4b,Chironomidae sp.,pupa,(1 pupae),1,0.5,CHISP2,family,midges,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,NA,NA,NA,NA,NA,6,cg,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,1a,Claassenia sp.,larva,NA,1,0.5,CLASP4,genus,Claassenia,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,NA,NA,Claassenia,NA,NA,3,prd,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,14,Clinocera sp.,pupa,pupa,1,0.5,CLISP2,genus,Clinocera,Arthropoda,Hexapoda,Insecta,Diptera,Empididae,Clinocerinae,NA,Clinocera,NA,NA,6,prd,prc
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,1,Corydalus sp.,larva,gills at base of abdomninal trachaeventral gill tufts at base of lateral filaments,1,0.5,CORSP20,genus,Corydalus,Arthropoda,Hexapoda,Insecta,Megaloptera,Corydalidae,Corydalinae,NA,Corydalus,NA,NA,4,prd,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,12,Culicidae sp.,pupa,Pupae,1,0.5,CULSP,family,Culicidae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,NA,NA,NA,NA,NA,8,cf,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,11c,Culicidae sp.,pupa,Pupae,1,0.5,CULSP,family,Culicidae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,NA,NA,NA,NA,NA,8,cf,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,1c,Dannella sp.,larva,"(no gills on seg 2 or 3, gills dorsal not lateral, no paired submedian tubercules)",2,0.5,DANSP1,genus,Dannella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Dannella,NA,NA,2,cg,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,9b,Drunella sp.,larva,NA,1,0.5,DRUSP,genus,Drunella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Drunella,NA,NA,0,scr,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,10,Drunella sp.,larva,NA,1,0.5,DRUSP,genus,Drunella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Drunella,NA,NA,0,scr,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,1c,Drunella sp.,larva,NA,1,0.5,DRUSP,genus,Drunella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Drunella,NA,NA,0,scr,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,9d,Ephemerella dorothea/excrucians,larva,"(whorls of spines on caudal segments, gills absent on seg 2)",6,0.5,EPHDOR,speciesGroup,Ephemerella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,dorothea,NA,1,cg,scr
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,1c,Ephemerella dorothea/excrucians,larva,"(whorls of spines on caudal segments, gills absent on seg 2)",7,0.5,EPHDOR,speciesGroup,Ephemerella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,dorothea,NA,1,cg,scr
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,9a,Ephemerella dorothea/excrucians,larva,NA,1,0.5,EPHDOR,speciesGroup,Ephemerella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,dorothea,NA,1,cg,scr
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,14,Ephemerella dorothea/excrucians,larva,"(whorls of spines on caudal segments, gills absent on seg 2) Again there are some individuals that are brown and some black. Beginning to think the brown ones are S. serratoides because they tend to be smaller (according to the key Serratella serrata are 5-6mm and S. serratoides are 5-6mm)",16,0.5,EPHDOR,speciesGroup,Ephemerella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,dorothea,NA,1,cg,scr
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,15b,Ephemerella dorothea/excrucians,larva,"(whorls of spines on caudal segments, gills absent on seg 2) Appears to be two color morphs- black and brown, but could be the difference between Serratella serrata (abdominal sternites usually with two long black lateral marks) and S. serratoides (abdominal sternites usually with four small circular spots on segments 2-7), perhaps some of the coloration was lost with preservation.",23,0.5,EPHDOR,speciesGroup,Ephemerella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,dorothea,NA,1,cg,scr
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,13,Ephemerella dorothea/excrucians,larva,NA,2,0.5,EPHDOR,speciesGroup,Ephemerella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,dorothea,NA,1,cg,scr
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,10,Ephemerella dorothea/excrucians,larva,NA,10,0.5,EPHDOR,speciesGroup,Ephemerella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,dorothea,NA,1,cg,scr
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,1a,Ephemerella dorothea/excrucians,larva,"(whorls of spines on caudal segments, gills absent on seg 2)",45,0.5,EPHDOR,speciesGroup,Ephemerella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,dorothea,NA,1,cg,scr
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,1d,Ephydridae sp.,pupa,pupae,1,0.5,EPHSP3,family,Ephydridae,Arthropoda,Hexapoda,Insecta,Diptera,Ephydridae,NA,NA,NA,NA,NA,6,cg,sh
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,11,Eukiefferiella sp.,larva,clear_midges,1,0.5,EUKSP,genus,midges,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Eukiefferiella,NA,NA,5,cg,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,1c,Eurylophella sp.,larva,NA,1,0.5,EURSP4,genus,Eurylophella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Eurylophella,NA,NA,2,cg,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,3,Ferrissia sp.,adult,NA,6,0.5,FERSP,genus,Ferrissia,Mollusca,NA,Gastropoda,Basommatophora,Ancylidae,NA,NA,Ferrissia,NA,NA,6,scr,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,3,Ferrissia sp.,adult,NA,1,0.5,FERSP,genus,Ferrissia,Mollusca,NA,Gastropoda,Basommatophora,Ancylidae,NA,NA,Ferrissia,NA,NA,6,scr,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,4,Ferrissia sp.,adult,NA,1,0.5,FERSP,genus,Ferrissia,Mollusca,NA,Gastropoda,Basommatophora,Ancylidae,NA,NA,Ferrissia,NA,NA,6,scr,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,6,Ferrissia sp.,adult,NA,3,0.5,FERSP,genus,Ferrissia,Mollusca,NA,Gastropoda,Basommatophora,Ancylidae,NA,NA,Ferrissia,NA,NA,6,scr,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,6,Ferrissia sp.,adult,too mangled to return to vial,3,0.5,FERSP,genus,Ferrissia,Mollusca,NA,Gastropoda,Basommatophora,Ancylidae,NA,NA,Ferrissia,NA,NA,6,scr,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,3,Ferrissia sp.,adult,NA,1,0.5,FERSP,genus,Ferrissia,Mollusca,NA,Gastropoda,Basommatophora,Ancylidae,NA,NA,Ferrissia,NA,NA,6,scr,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSR,01DRSU18,Lavender,DSR,3,Gammarus sp.,adult,NA,10,0.5,GAMSP3,genus,Gammarus,Arthropoda,Crustacea,Malacostraca,Amphipoda,Gammaridae,NA,NA,Gammarus,NA,NA,6,cg,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,13,Girardia sp.,adult,"Balloons in ethanol, splotchy dark back.",1,0.5,GIRSP,genus,Girardia,Platyhelminthes,Rhabditophora,Trepaxonemata,Neoophora,Dugesiidae,NA,NA,Girardia,NA,NA,6,prd,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,6,Girardia sp.,adult,"Both specimens were pigmented (spotted) with one distinct pair of symmetrical eyes. One specimen had a very distinct/ visible pharynx, which allowed us to key out a little further than for SP13 specimen. Used the compound scope to try to see internal organs a little more clearly. Using the ""squash method,"" only the pharynx became visible",2,0.5,GIRSP,genus,Girardia,Platyhelminthes,Rhabditophora,Trepaxonemata,Neoophora,Dugesiidae,NA,NA,Girardia,NA,NA,6,prd,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,8b,Hydropsyche betteni,larva,"Mostly brown head, has scale hairs",1,0.5,HYDBET,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,betteni,NA,7,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,5a,Hydropsyche betteni,larva,"Mostly brown head, has scale hairs",4,0.5,HYDBET,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,betteni,NA,7,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,2b,Hydropsyche betteni,larva,"Mostly brown head, has scale hairs",3,0.5,HYDBET,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,betteni,NA,7,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,4a,Hydropsyche betteni,larva,"Mostly brown head, has scale hairs",5,0.5,HYDBET,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,betteni,NA,7,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,3c,Hydropsyche betteni,larva,"Mostly brown head, has scale hairs",12,0.5,HYDBET,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,betteni,NA,7,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,4a,Hydropsyche betteni,larva,"Mostly brown head, has scale hairs",24,0.5,HYDBET,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,betteni,NA,7,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,6b,Hydropsyche bronta,larva,"Patterned head, no scale hairs,",1,0.5,HYDBRO,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,bronta,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,8b,Hydropsyche bronta,larva,"Patterned head, no scale hairs,",1,0.5,HYDBRO,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,bronta,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,5a,Hydropsyche bronta,larva,"Patterned head, no scale hairs,",1,0.5,HYDBRO,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,bronta,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,5c,Hydropsyche bronta,larva,"Patterned head, no scale hairs. no clearly defined row of setae",2,0.5,HYDBRO,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,bronta,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,4a,Hydropsyche bronta,larva,"Patterned head, no scale hairs,",2,0.5,HYDBRO,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,bronta,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,3c,Hydropsyche bronta,larva,"Patterned head, no scale hairs,",3,0.5,HYDBRO,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,bronta,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,8b,Hydropsyche morosa,larva,"Distinct spot pattern on head, no scale hairs",3,0.5,HYDMOR,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,morosa,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,6b,Hydropsyche morosa,larva,"Distinct spot pattern on head, no scale hairs",4,0.5,HYDMOR,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,morosa,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,5c,Hydropsyche morosa,larva,"Distinct spot pattern on head, no scale hairs",2,0.5,HYDMOR,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,morosa,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,5a,Hydropsyche morosa,larva,"Distinct spot pattern on head, no scale hairs",10,0.5,HYDMOR,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,morosa,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,4a,Hydropsyche morosa,larva,"Distinct spot pattern on head, no scale hairs",7,0.5,HYDMOR,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,morosa,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,3c,Hydropsyche morosa,larva,"Distinct spot pattern on head, no scale hairs",10,0.5,HYDMOR,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,morosa,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,4a,Hydropsyche morosa,larva,"Distinct spot pattern on head, no scale hairs",5,0.5,HYDMOR,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,morosa,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,2,Hydropsyche morosa,pupa,pupa,1,0.5,HYDMOR,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,morosa,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,6b,Hydropsyche sp.,larva,"hybrid (?) of morosa and bronta. had the spots of morosa on head, but the under jaw markings of bronta",1,0.5,HYDSP23,genus,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,NA,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,5a,Hydropsyche sp.,larva,"hybrid (?) of morosa and bronta. had the spots of morosa on head, but the under jaw markings of bronta",1,0.5,HYDSP23,genus,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,NA,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,4a,Hydropsyche sp.,larva,"hybrid (?) of morosa and bronta. had the spots of morosa on head, but the under jaw markings of bronta",1,0.5,HYDSP23,genus,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,NA,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,4a,Hydropsyche sp.,larva,"hybrid (?) of morosa and bronta. had the spots of morosa on head, but the under jaw markings of bronta",2,0.5,HYDSP23,genus,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,NA,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,9b,Hydropsyche sparna,larva,"Light brown head with three light spots, no scale hairs,",1,0.5,HYDSPA,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,sparna,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,6b,Hydropsyche sparna,larva,"Light brown head with three light spots, no scale hairs,",6,0.5,HYDSPA,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,sparna,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,8b,Hydropsyche sparna,larva,"Light brown head with three light spots, no scale hairs,",10,0.5,HYDSPA,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,sparna,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,5a,Hydropsyche sparna,larva,"Light brown head with three light spots, no scale hairs,",11,0.5,HYDSPA,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,sparna,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,2b,Hydropsyche sparna,larva,"Light brown head with three light spots, no scale hairs,",2,0.5,HYDSPA,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,sparna,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,3c,Hydropsyche sparna,larva,"Light brown head with three light spots, no scale hairs,",11,0.5,HYDSPA,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,sparna,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,4a,Hydropsyche sparna,larva,"Light brown head with three light spots, no scale hairs,",12,0.5,HYDSPA,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,sparna,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,3,Hydropsyche sparna,larva,"Light brown head with three light spots, no scale hairs,",1,0.5,HYDSPA,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,sparna,NA,6,cf,om
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,4a,Hydropsyche sparna,larva,"Light brown head with three light spots, no scale hairs,",20,0.5,HYDSPA,species,Hydropsyche,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,sparna,NA,6,cf,om
